@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute orientation-1 numeric
@attribute orientation-2 numeric
@attribute orientation-3 numeric
@attribute outputs-1 numeric

@data
231,'2023/10/29 18:47:27:703',12,0.103994,0.181919,0.029461,0.5
232,'2023/10/29 18:47:27:747',12,0.089282,0.177601,0.036495,0.5
233,'2023/10/29 18:47:27:776',12,0.100098,0.180642,0.032131,0.5
234,'2023/10/29 18:47:27:802',12,0.089123,0.181899,0.039782,0.5
235,'2023/10/29 18:47:27:845',12,0.055319,0.18016,0.05124,0.5
236,'2023/10/29 18:47:27:866',12,0.045455,0.177405,0.045713,0.5
237,'2023/10/29 18:47:27:910',12,0.034818,0.180955,0.050922,0.5
238,'2023/10/29 18:47:27:922',12,0.032581,0.173251,0.048227,0.5
239,'2023/10/29 18:47:27:952',12,0.019353,0.183185,0.059957,0.5
240,'2023/10/29 18:47:27:988',12,0.031464,0.175439,0.056162,0.5
241,'2023/10/29 18:47:28:026',12,0.036514,0.177855,0.053156,0.5
242,'2023/10/29 18:47:28:057',12,0.042475,0.17502,0.047575,0.5
243,'2023/10/29 18:47:28:093',12,0.058776,0.176791,0.045293,0.5
244,'2023/10/29 18:47:28:118',12,0.08154,0.172355,0.039521,0.5
245,'2023/10/29 18:47:28:176',12,0.091739,0.178043,0.041975,0.5
246,'2023/10/29 18:47:28:203',12,0.09226,0.172858,0.035255,0.5
247,'2023/10/29 18:47:28:245',12,0.087207,0.17897,0.038249,0.5
248,'2023/10/29 18:47:28:256',12,0.10413,0.177564,0.034908,0.5
249,'2023/10/29 18:47:28:313',12,0.099042,0.18007,0.041019,0.5
250,'2023/10/29 18:47:28:329',12,0.112807,0.177594,0.031058,0.5
251,'2023/10/29 18:47:28:362',12,0.121047,0.183659,0.029767,0.5
252,'2023/10/29 18:47:28:390',12,0.1248,0.183938,0.026684,0.5
253,'2023/10/29 18:47:28:424',12,0.124517,0.182692,0.023584,0.5
254,'2023/10/29 18:47:28:456',12,0.13381,0.177185,0.021053,0.5
255,'2023/10/29 18:47:28:492',12,0.140594,0.185199,0.023729,0.5
256,'2023/10/29 18:47:28:525',12,0.146971,0.185469,0.023017,0.5
257,'2023/10/29 18:47:28:560',12,0.154268,0.182627,0.015525,0.5
258,'2023/10/29 18:47:28:587',12,0.148837,0.18398,0.008972,0.5
259,'2023/10/29 18:47:28:619',12,0.148857,0.180243,0.014623,0.5
260,'2023/10/29 18:47:28:653',12,0.149013,0.178344,0.013816,0.5
261,'2023/10/29 18:47:28:688',12,0.153228,0.177791,0.01509,0.5
262,'2023/10/29 18:47:28:739',12,0.154647,0.177768,0.012377,0.5
263,'2023/10/29 18:47:28:779',12,0.150712,0.179375,0.01445,0.5
264,'2023/10/29 18:47:28:793',12,0.151824,0.177189,0.014419,0.5
265,'2023/10/29 18:47:28:819',12,0.156575,0.183232,0.021619,0.5
266,'2023/10/29 18:47:28:852',12,0.152666,0.179507,0.018487,0.5
267,'2023/10/29 18:47:28:894',12,0.134938,0.186318,0.029901,0.5
268,'2023/10/29 18:47:28:925',12,0.121887,0.185078,0.039326,0.5
269,'2023/10/29 18:47:28:952',12,0.119602,0.180612,0.043803,0.5
270,'2023/10/29 18:47:28:984',12,0.111697,0.179193,0.049583,0.5
271,'2023/10/29 18:47:29:019',12,0.110266,0.177541,0.053922,0.5
272,'2023/10/29 18:47:29:051',12,0.108321,0.17998,0.056378,0.5
273,'2023/10/29 18:47:29:086',12,0.108167,0.17519,0.062714,0.5
274,'2023/10/29 18:47:29:119',12,0.101417,0.174914,0.061905,0.5
275,'2023/10/29 18:47:29:136',12,0.092741,0.174478,0.063294,0.5
276,'2023/10/29 18:47:30:644',13,0.133413,-0.083048,0.075337,0.5
277,'2023/10/29 18:47:30:672',13,0.137568,-0.081299,0.075404,0.5
278,'2023/10/29 18:47:30:703',13,0.125457,-0.081748,0.074443,0.5
279,'2023/10/29 18:47:30:734',13,0.107595,-0.07816,0.072251,0.5
280,'2023/10/29 18:47:30:770',13,0.112684,-0.080736,0.073388,0.5
281,'2023/10/29 18:47:30:787',13,0.118911,-0.081004,0.070593,0.5
282,'2023/10/29 18:47:30:818',13,0.113502,-0.08387,0.074524,0.5
283,'2023/10/29 18:47:30:855',13,0.101488,-0.088668,0.076078,0.5
284,'2023/10/29 18:47:30:893',13,0.102248,-0.087539,0.066184,0.5
285,'2023/10/29 18:47:30:918',13,0.100322,-0.088311,0.069449,0.5
286,'2023/10/29 18:47:30:956',13,0.067435,-0.087581,0.063497,0.5
287,'2023/10/29 18:47:31:002',13,0.077948,-0.082776,0.067305,0.5
288,'2023/10/29 18:47:31:036',13,0.08212,-0.084396,0.065777,0.5
289,'2023/10/29 18:47:31:068',13,0.063679,-0.084855,0.064107,0.5
290,'2023/10/29 18:47:31:104',13,0.063417,-0.081049,0.060263,0.5
291,'2023/10/29 18:47:31:139',13,0.058697,-0.084874,0.052705,0.5
292,'2023/10/29 18:47:31:159',13,0.059717,-0.078875,0.058982,0.5
293,'2023/10/29 18:47:31:184',13,0.05,-0.077027,0.060431,0.5
294,'2023/10/29 18:47:31:218',13,0.047973,-0.07448,0.062018,0.5
295,'2023/10/29 18:47:31:256',13,0.043652,-0.076438,0.063558,0.5
296,'2023/10/29 18:47:31:284',13,0.046008,-0.077034,0.061353,0.5
297,'2023/10/29 18:47:31:327',13,0.035244,-0.075897,0.063963,0.5
298,'2023/10/29 18:47:31:359',13,0.042228,-0.078812,0.064533,0.5
299,'2023/10/29 18:47:31:387',13,0.042958,-0.083691,0.059586,0.5
300,'2023/10/29 18:47:31:418',13,0.067832,-0.086072,0.066889,0.5
301,'2023/10/29 18:47:31:451',13,0.079456,-0.088899,0.072754,0.5
302,'2023/10/29 18:47:31:484',13,0.093016,-0.087162,0.07809,0.5
303,'2023/10/29 18:47:31:517',13,0.091879,-0.088417,0.089366,0.5
304,'2023/10/29 18:47:31:579',13,0.092573,-0.089141,0.088061,0.5
305,'2023/10/29 18:47:31:594',13,0.089407,-0.087571,0.087178,0.5
306,'2023/10/29 18:47:31:620',13,0.0987,-0.089636,0.088753,0.5
307,'2023/10/29 18:47:31:662',13,0.090782,-0.093707,0.090764,0.5
308,'2023/10/29 18:47:31:685',13,0.10276,-0.095162,0.095279,0.5
309,'2023/10/29 18:47:31:727',13,0.106529,-0.089867,0.093542,0.5
310,'2023/10/29 18:47:31:760',13,0.118749,-0.085971,0.09777,0.5
311,'2023/10/29 18:47:31:790',13,0.110215,-0.087828,0.094482,0.5
312,'2023/10/29 18:47:31:818',13,0.114485,-0.089522,0.098381,0.5
313,'2023/10/29 18:47:31:851',13,0.106192,-0.088371,0.09626,0.5
314,'2023/10/29 18:47:31:884',13,0.123434,-0.090629,0.096916,0.5
315,'2023/10/29 18:47:31:920',13,0.123349,-0.091829,0.096678,0.5
316,'2023/10/29 18:47:31:956',13,0.139976,-0.083117,0.101851,0.5
317,'2023/10/29 18:47:31:987',13,0.145416,-0.087972,0.104393,0.5
318,'2023/10/29 18:47:32:002',13,0.124929,-0.092133,0.107123,0.5
319,'2023/10/29 18:47:32:035',13,0.141313,-0.090689,0.105978,0.5
320,'2023/10/29 18:47:32:069',13,0.150442,-0.091131,0.112249,0.5
321,'2023/10/29 18:47:32:118',13,0.130636,-0.097758,0.109931,0.5
322,'2023/10/29 18:47:32:151',13,0.13617,-0.094974,0.108767,0.5
323,'2023/10/29 18:47:32:186',13,0.148229,-0.092816,0.10629,0.5
324,'2023/10/29 18:47:32:224',13,0.162886,-0.090519,0.1138,0.5
325,'2023/10/29 18:47:32:251',13,0.139561,-0.093265,0.107493,0.5
